"time_hours","time_days","baseline_1","baseline_2","baseline_3","fluctmin_1","fluctmin_2","fluctmin_3","fluctmax_1","fluctmax_2","fluctmax_3","baseline_temp","fluctmin_temp","fluctmax_temp"
0,0,841.3951,841.3951,473.1513,841.3951,1122.018,1122.018,1122.018,841.3951,630.9573,18,2.5,5
96,4,199.5262,149.6236,84.13951,63.09573,112.2018,63.09573,84.13951,354.8134,149.6236,18,2.5,5
192,8,841.3951,1496.236,630.9573,14962.36,47315.13,14962.36,3548.134,1995.262,1122.018,18,2.5,5
288,12,19952.62,14962.36,3548.134,630957.3,1122018,354813.4,11220.18,19952.62,11220.18,18,2.5,5
384,16,26607.25,26607.25,14962.36,1995262,3548134,1995262,112201.8,266072.5,26607.25,18,2.5,5
480,20,630957.3,266072.5,84139.51,8413951,14962357,6309573,4731513,1122018,1995262,18,2.5,5
576,24,1995262,1122018,354813.4,19952623,11220185,8413951,4731513,14962357,2660725,18,2.5,5
672,28,1496236,2660725,1122018,11220185,3548134,1122018,3548134,6309573,1496236,18,2.5,5
