"time_hours","time_days","baseline_1","baseline_2","baseline_3","fluctmin_1","fluctmin_2","fluctmin_3","fluctmax_1","fluctmax_2","fluctmax_3","baseline_temp","fluctmin_temp","fluctmax_temp"
0,0,1496.236,3548.134,841.3951,1122.018,1995.262,1496.236,1496.236,1122.018,1122.018,32,2.5,5
24,1,19952.62,19952.62,6309.573,26607.25,3548.134,1496.236,3548.134,2660.725,841.3951,32,2.5,5
48,2,841395.1,2660725,1995262,354813.4,266072.5,630957.3,112201.8,199526.2,149623.6,32,2.5,5
72,3,19952623,47315126,14962357,14962357,47315126,11220185,11220185,8413951,1995262,32,2.5,5
96,4,35481339,35481339,35481339,84139514,35481339,35481339,1.12e+08,47315126,35481339,32,2.5,5
120,5,47315126,26607251,8413951,35481339,47315126,14962357,14962357,47315126,26607251,32,2.5,5
144,6,47315126,14962357,8413951,14962357,26607251,8413951,19952623,47315126,35481339,32,2.5,5
