"time_hours","time_days","baseline_1","baseline_2","baseline_3","fluctmin_1","fluctmin_2","fluctmin_3","fluctmax_1","fluctmax_2","fluctmax_3","baseline_temp","fluctmin_temp","fluctmax_temp"
0,0,355,2661,473,631,355,1122,1995,1995,1995,30,2.5,5
24,1,63,84,63,84,150,355,200,112,200,30,2.5,5
48,2,11220,19953,14962,26607,26607,112202,26607,84140,112202,30,2.5,5
72,3,1995262,1122018,6309573,4731513,1122018,11220185,1995262,8413951,4731513,30,2.5,5
96,4,11220185,19952623,19952623,35481339,47315126,35481339,35481339,63095734,63095734,30,2.5,5
120,5,63095734,26607251,26607251,35481339,63095734,63095734,63095734,63095734,63095734,30,2.5,5
144,6,26607251,35481339,14962357,63095734,63095734,47315126,63095734,63095734,47315126,30,2.5,5
