"time_hours","time_days","baseline_1","baseline_2","baseline_3","fluctmin_1","fluctmin_2","fluctmin_3","fluctmax_1","fluctmax_2","fluctmax_3","baseline_temp","fluctmin_temp","fluctmax_temp"
0,0,6309.573,3548.134,6309.573,6309.573,4731.513,4731.513,4731.513,6309.573,841.3951,28,2.5,5
24,1,8413.951,11220.18,1995.262,8413.951,1995.262,841.3951,1496.236,2660.725,473.1513,28,2.5,5
48,2,1122018,354813.4,149623.6,354813.4,354813.4,149623.6,149623.6,149623.6,149623.6,28,2.5,5
72,3,3548134,35481339,8413951,6309573,11220185,11220185,6309573,47315126,8413951,28,2.5,5
96,4,63095734,2.66e+08,26607251,35481339,3.55e+08,63095734,47315126,84139514,26607251,28,2.5,5
120,5,63095734,63095734,63095734,1.5e+08,35481339,26607251,84139514,35481339,1.12e+08,28,2.5,5
144,6,84139514,47315126,26607251,35481339,1.12e+08,11220185,47315126,63095734,11220185,28,2.5,5
